idJob,idUser,HasCandidated,DateRecord,computeLifeTime,nbrFoisOccupe,nbrFoisPosteClic,nbrFoisPosteLike,nbrFoisPosteComment,nbrFoisPosteCandid,computedExpDiff,computeCorrespDipl,computeCorrespTags,computeCorrespLangs,PageSubscribed,TotBusPostsLikedByUser,TotBusPostsCommByUser,TotPageVisitsByUser,likes,saves,clicks,applications,comments,totLikes,totJobSaves,totJobClicks,totApplications,totComments,totFollowers,totBusPageVisits
129,1,0,2/1/2019,2,0,15,0,0,0,0.000407664,1,0,60,1,0,0,173,0,0,0.042714571,0,0,0.001042481,0,1,0.004951785,0.000347494,0.268722467,0.037947175
72,0,0,2/1/2019,7,0,0,0,0,0,-0.000694444,0,0,0,0,0,0,0,0,0,0.084585659,0,0.000429369,0.001042481,0,1,0.004951785,0.000347494,0.268722467,0.037947175
129,2176,0,2/1/2019,2,0,3,0,0,0,-0.004048583,1,4,44,0,0,0,3,0,0,0.042714571,0,0,0.001042481,0,1,0.004951785,0.000347494,0.268722467,0.037947175
130,2176,0,2/1/2019,29,0,2,0,0,0,0.003412969,0,5,44,0,0,0,2,0.000416146,0,0.047440699,0.001248439,0,0.009836066,0,1,0.013114754,0,0.470588235,0.100591716
75,0,0,2/1/2019,7,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0.000498008,0,0.445966135,0.001992032,0,0.001042481,0,1,0.004951785,0.000347494,0.268722467,0.037947175
136,0,0,2/1/2019,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000412541,0,0.150990099,0.004950495,0.000825083,0.005074786,0,1,0.022702991,0.005876068,0.269360269,0.136929461
114,0,0,2/1/2019,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000735835,0,0.075791023,0.00147167,0,0.004283674,0,1,0.020466445,0.004759638,0.393548387,0.068705674
93,0,0,2/1/2019,22,0,0,0,0,0,-0.000694444,0,0,0,0,0,0,0,0.000424809,0,0.067969414,0.000424809,0.000424809,0.017199017,0,1,0.027027027,0.00982801,0.234042553,0.103524229
38,0,0,2/1/2019,18,0,0,0,0,0,-0.000694444,0,0,0,0,0,0,0,0,0,0.056603774,0.000673854,0,0.005722461,0,1,0.012875536,0.018597997,1.352941176,0.108556833
58,0,0,2/1/2019,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000480077,0,0.067690831,0.001920307,0,0.005074786,0,1,0.022702991,0.005876068,0.269360269,0.136929461
49,0,0,2/1/2019,12,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0,0,0.065538351,0,0,0.009463722,0,1,0,0,0.833333333,0.086455331
68,0,0,2/1/2019,9,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0,0,0.272338911,0.00249199,0.000355999,0.001042391,0,1,0.004951355,0.000347464,0.268722467,0.037944003
99,924,0,2/1/2019,4,0,11,0,0,0,0.01010101,1,0,60,1,0,0,31,0.001371272,0,0.103873843,0.003770998,0.001028454,0.005995415,0,0.999823664,0.019573268,0.006348087,0.281144781,0.094888179
66,0,0,2/1/2019,9,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0,0,0.095260009,0.000920387,0,0.001042391,0,1,0.004951355,0.000347464,0.268722467,0.037944003
51,0,0,2/1/2019,12,0,0,0,0,0,-0.000694444,0,0,0,0,0,0,0,0,0,0.367888748,0,0,0.005,0,1,0.0025,0,1.739130435,0.054373522
92,0,0,2/1/2019,29,0,0,0,0,0,-0.005555556,0,0,0,0,0,0,0,0,0,0.031565103,0.002192021,0,0.010606061,0,1,0.048484848,0.006060606,0.185840708,0.1461837
86,0,0,2/1/2019,1,0,0,0,0,0,-0.005555556,0,0,0,0,0,0,0,0.002711497,0,0.139370933,0.00867679,0.001626898,0.010606061,0,1,0.048484848,0.006060606,0.185840708,0.1461837
97,0,0,2/1/2019,26,0,0,0,0,0,-0.000694444,0,0,0,0,0,0,0,0,0,0.071496663,0,0.000476644,0.004899559,0,0.999510044,0.020578148,0.005389515,0.172307692,0.137420719
60,0,0,2/1/2019,10,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0,0,0.063271605,0.003858025,0,0,0,1,0.03314121,0,0.405405405,0.096354167
25,0,0,2/1/2019,24,0,0,0,0,0,-0.000694444,0,0,0,0,0,0,0,0.001414427,0,0.071782178,0.000707214,0,0.003270889,0,1,0.014867678,0.008325899,0.230563003,0.0998394
122,0,0,2/1/2019,2,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0,0,0.03425656,0,0,0.001042391,0,1,0.004951355,0.000347464,0.268722467,0.037944003
87,0,0,2/1/2019,1,0,0,0,0,0,-0.005555556,0,0,0,0,0,0,0,0.000458295,0,0.039413382,0.001374885,0,0.010606061,0,1,0.048484848,0.006060606,0.185840708,0.1461837
79,0,0,2/1/2019,3,0,0,0,0,0,-0.000694444,0,0,0,0,0,0,0,0,0,0.073679538,0.000887705,0.000887705,0.004899559,0,0.999510044,0.020578148,0.005389515,0.172307692,0.137420719
136,1984,1,2/1/2019,23,0,2,0,0,1,1,1,0,28,1,0,0,2,0.000412541,0,0.150990099,0.004950495,0.000825083,0.005074786,0,1,0.022702991,0.005876068,0.269360269,0.136929461
61,0,0,2/1/2019,9,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0,0,0.367256637,0.000402253,0.000402253,0.001042391,0,1,0.004951355,0.000347464,0.268722467,0.037944003
40,0,0,2/1/2019,17,0,0,0,0,0,-0.000694444,0,0,0,0,0,0,0,0.000304136,0,0.027676399,0,0,0.002888504,0,1,0.008087811,0.004043905,0.376237624,0.055131004
90,0,0,2/1/2019,29,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0.000669792,0,0.137307435,0.001339585,0,0.004139073,0,0.999172185,0.008278146,0,0.323529412,0.053333333
62,0,0,2/1/2019,11,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0.000397931,0,0.234779148,0.001989654,0,0.001042391,0,1,0.004951355,0.000347464,0.268722467,0.037944003
76,0,0,2/1/2019,29,0,0,0,0,0,-0.000694444,0,0,0,0,0,0,0,0.001184133,0,0.066903493,0,0.000592066,0.005074786,0,1,0.022702991,0.005876068,0.269360269,0.136929461
50,0,0,2/1/2019,12,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0.003184713,0,0.173566879,0.001592357,0,0.005,0,1,0.0025,0,1.739130435,0.054373522
71,0,0,2/1/2019,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00040833,0,0.055532871,0.00204165,0,0.005074786,0,1,0.022702991,0.005876068,0.269360269,0.136929461
37,0,0,2/1/2019,18,0,0,0,0,0,-0.000694444,0,0,0,0,0,0,0,0.000351617,0,0.035864979,0.000351617,0,0.005722461,0,1,0.012875536,0.018597997,1.352941176,0.108556833
108,1600,1,2/1/2019,7,0,4,0,0,2,0.00057971,2,2,50,0,0,0,7,0,0,0.087265676,0.004524887,0,0,0,1,0.03314121,0,0.405405405,0.096354167
26,0,0,2/1/2019,22,0,0,0,0,0,-0.000694444,0,0,0,0,0,0,0,0.000560695,0,0.190356041,0.000560695,0.001121391,0.003270889,0,1,0.014867678,0.008325899,0.230563003,0.0998394
39,0,0,2/1/2019,18,0,0,0,0,0,-0.000694444,0,0,0,0,0,0,0,0.000793021,0,0.325138779,0.002775575,0.001387787,0.002888504,0,1,0.008087811,0.004043905,0.376237624,0.055131004
106,0,0,2/1/2019,7,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0,0,0.071380921,0,0,0,0,1,0.03314121,0,0.405405405,0.096354167
74,0,0,2/1/2019,7,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0,0,0.175650207,0.001507727,0.000376932,0.001042391,0,1,0.004951355,0.000347464,0.268722467,0.037944003
111,0,0,2/1/2019,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0554371,0.002132196,0,0,0,1,0.03314121,0,0.405405405,0.096354167
129,0,0,2/1/2019,2,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0,0,0.042714571,0,0,0.001042391,0,1,0.004951355,0.000347464,0.268722467,0.037944003
101,0,0,2/1/2019,2,0,0,0,0,0,-0.000694444,0,0,0,0,0,0,0,0.000903751,0,0.043831902,0.000903751,0,0.001042391,0,1,0.004951355,0.000347464,0.268722467,0.037944003
105,0,0,2/1/2019,8,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0,0,0.097797927,0.001295337,0,0,0,1,0.013245033,0,0.4,0.116959064
